0xF6AC  0x0251+0301   # LATIN SMALL LETTER ALPHA + COMBINING ACUTE ACCENT [はつおんじゅうに]
0xF6AD  0x0254+0301   # LATIN SMALL LETTER OPEN O WITH ACUTE [はつおんじゅうさん]
0xF6AE  0x028C+0301   # LATIN SMALL LETTER TURNED V WITH ACUTE [はつおんじゅうし]
0xF6AF  0x0259+0301   # LATIN SMALL LETTER SCHWA WITH ACUTE [はつおんじゅうご]
0xF6B0  0x025A+0301   # LATIN SMALL LETTER HOOKED SCHWA WITH ACUTE [はつおんじゅうろく]
0xF6B1  0x025B+0301   # LATIN SMALL LETTER OPEN E + COMBINING ACUTE ACCENT [はつおんじゅうなな]
0xF6B2  0x00E6+0300   # LATIN SMALL LETTER AE WITH GRAVE [はつおんじゅうはち]
0xF6B3  0x0251+0300   # LATIN SMALL LETTER ALPHA + COMBINING GRAVE ACCENT [はつおんじゅうきゅう]
0xF6B4  0x0254+0300   # LATIN SMALL LETTER OPEN O WITH GRAVE [はつおんにじゅう]
0xF6B5  0x028C+0300   # LATIN SMALL LETTER TURNED V WITH GRAVE [はつおんにじゅういち]
0xF6B6  0x0259+0300   # LATIN SMALL LETTER SCHWA WITH GRAVE [はつおんにじゅうに]
0xF6B7  0x025A+0300   # LATIN SMALL LETTER HOOKED SCHWA WITH GRAVE [はつおんにじゅうさん]
0xF6B8  0x025B+0300   # LATIN SMALL LETTER OPEN E + COMBINING GRAVE ACCENT [はつおんにじゅうし]
0xF6B9  0x02D0        # MODIFIER LETTER TRIANGULAR COLON [ちょうおんきごう]
0xF6BF  0x2160        # ROMAN NUMERAL ONE [ろーまいち]
0xF6C0  0x2161        # ROMAN NUMERAL TWO [ろーまに]
0xF6C1  0x2162        # ROMAN NUMERAL THREE [ろーまさん]
0xF6C2  0x2163        # ROMAN NUMERAL FOUR [ろーまよん, ろーまし]
0xF6C3  0x2164        # ROMAN NUMERAL FIVE [ろーまご]
0xF6C4  0x2165        # ROMAN NUMERAL SIX [ろーまろく]
0xF6C5  0x2166        # ROMAN NUMERAL SEVEN [ろーまなな, ろーましち]
0xF6C6  0x2167        # ROMAN NUMERAL EIGHT [ろーまはち]
0xF6C7  0x2168        # ROMAN NUMERAL NINE [ろーまきゅう]
0xF6C8  0x2169        # ROMAN NUMERAL TEN [ろーまじゅう]
0xF6C9  0x2460        # CIRCLED DIGIT ONE [まるいち]
0xF6CA  0x2461        # CIRCLED DIGIT TWO [まるに]
0xF6CB  0x2462        # CIRCLED DIGIT THREE [まるさん]
0xF6CC  0x2463        # CIRCLED DIGIT FOUR [まるよん, まるし]
0xF6CD  0x2464        # CIRCLED DIGIT FIVE [まるご]
0xF6CE  0x2465        # CIRCLED DIGIT SIX [まるろく]
0xF6CF  0x2466        # CIRCLED DIGIT SEVEN [まるなな, まるしち]
0xF6D0  0x2467        # CIRCLED DIGIT EIGHT [まるはち]
0xF6D1  0x2468        # CIRCLED DIGIT NINE [まるきゅう]
0xF6D2  0x2469        # CIRCLED NUMBER TEN [まるじゅう]
0xF6D3  0x246A        # CIRCLED NUMBER ELEVEN [まるじゅういち]
0xF6D4  0x246B        # CIRCLED NUMBER TWELVE [まるじゅうに]
0xF6D5  0x246C        # CIRCLED NUMBER THIRTEEN [まるじゅうさん]
0xF6D6  0x246D        # CIRCLED NUMBER FOURTEEN [まるじゅうよん]
0xF6D7  0x246E        # CIRCLED NUMBER FIFTEEN [まるじゅうご]
0xF6D8  0x246F        # CIRCLED NUMBER SIXTEEN [まるじゅうろく]
0xF6D9  0x2470        # CIRCLED NUMBER SEVENTEEN [まるじゅうなな, まるじゅうしち]
0xF6DA  0x2471        # CIRCLED NUMBER EIGHTEEN [まるじゅうはち]
0xF6DB  0x2472        # CIRCLED NUMBER NINETEEN [まるじゅうきゅう]
0xF6DC  0x2473        # CIRCLED NUMBER TWENTY [まるにじゅう]
0xF6DD  0x2667        # WHITE CLUB SUIT [しろくらぶ]
0xF6DE  0x2661        # WHITE HEART SUIT [しろはーと]
0xF6DF  0x2664        # WHITE SPADE SUIT [しろすぺーど]
0xF6E0  0x2662        # WHITE DIAMOND SUIT [しろだいやもんど]
0xF6E1  0x2663        # BLACK CLUB SUIT [くろくらぶ]
0xF6E2  0x2665        # BLACK HEART SUIT [くろはーと]
0xF6E3  0x2660        # BLACK SPADE SUIT [くろすぺーど]
0xF6E4  0x2666        # BLACK DIAMOND SUIT [くろだいやもんど]
0xF6E5  0x32A4        # CIRCLED IDEOGRAPH HIGH [まるうえ]
0xF6E6  0x32A5        # CIRCLED IDEOGRAPH CENTRE [まるなか]
0xF6E7  0x32A6        # CIRCLED IDEOGRAPH LOW [まるした]
0xF6E8  0x32A7        # CIRCLED IDEOGRAPH LEFT [まるひだり]
